Date,SPX,META,AMZN,AAPL,NFLX,GOOG
2019-11-01,3066.909912,193.619995,89.571999,63.955002,286.809998,63.687000
2019-11-04,3078.270020,194.720001,90.233002,64.375000,292.859985,64.568497
2019-11-05,3074.620117,194.320007,90.085503,64.282501,288.029999,64.601501
2019-11-06,3076.780029,191.550003,89.788498,64.309998,288.589996,64.589996
2019-11-07,3085.179932,190.419998,89.410004,64.857498,289.570007,65.443001
2019-11-08,3093.080078,190.839996,89.293999,65.035004,291.570007,65.568497
2019-11-11,3087.010010,189.610001,88.582497,65.550003,294.179993,64.959503
2019-11-12,3091.840088,194.470001,88.900002,65.489998,292.010010,64.940002
2019-11-13,3094.040039,193.190002,87.655502,66.117500,283.109985,64.900002
2019-11-14,3096.629883,193.149994,87.730003,65.660004,289.619995,65.572998
2019-11-15,3120.459961,195.100006,86.974503,66.440002,295.029999,66.743500
2019-11-18,3122.030029,197.399994,87.626503,66.775002,302.570007,66.035004
2019-11-19,3120.179932,199.320007,87.639503,66.572502,302.600006,65.773003
2019-11-20,3108.459961,197.509995,87.276497,65.797501,305.160004,65.152496
2019-11-21,3103.540039,197.929993,86.735497,65.502502,311.690002,65.067497
2019-11-22,3110.290039,198.820007,87.286003,65.445000,310.480011,64.766998
2019-11-25,3133.639893,199.789993,88.692001,66.592499,315.549988,65.334503
2019-11-26,3140.520020,198.970001,89.847000,66.072502,312.489990,65.677498
2019-11-27,3153.629883,202.000000,90.925499,66.959999,315.929993,65.649498
2019-11-29,3140.979980,201.639999,90.040001,66.812500,314.660004,65.248001
2019-12-02,3113.870117,199.699997,89.080002,66.040001,309.989990,64.496002
2019-12-03,3093.199951,198.820007,88.498001,64.862503,306.160004,64.764000
2019-12-04,3112.760010,198.710007,88.034500,65.434998,304.320007,66.027000
2019-12-05,3117.429932,199.360001,87.024002,66.394997,302.859985,66.406502
2019-12-06,3145.909912,201.050003,87.580002,67.677498,307.350006,67.030998
